epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,416.446,0.89468,1.5332,0.68316,1.11086,0.84081,0.83436,0.84049,0.47401,0.94693,0.93946,0.95056,0.46503,1.46559,2.66875,0.89996,1.78804,0.0002774,0.0002774,0.0002774
89,420.525,0.87235,1.47313,0.71971,1.08353,0.94344,0.8785,0.90394,0.5187,1,0.93113,0.96259,0.48091,1.48972,2.69908,0.84267,1.82321,0.0002576,0.0002576,0.0002576
90,424.597,0.86607,1.51367,0.68034,1.09193,0.89422,0.89009,0.90425,0.52046,0.94706,0.94173,0.95381,0.46188,1.52635,2.77002,0.8598,1.85081,0.0002378,0.0002378,0.0002378
91,451.849,0.76067,1.39796,0.58736,1.06485,0.88355,0.79909,0.89249,0.50036,0.94155,0.84809,0.95371,0.47377,1.63953,2.81233,0.85527,1.89824,0.000218,0.000218,0.000218
92,455.965,0.78568,1.41614,0.65268,1.07445,0.7878,0.84211,0.83688,0.49419,0.83736,0.89474,0.9091,0.43514,1.56847,2.76026,0.95691,1.8399,0.0001982,0.0001982,0.0001982
93,459.956,0.76519,1.29925,0.57852,1.03623,0.8913,0.73684,0.85288,0.50954,1,0.83788,0.9553,0.45989,1.49483,2.71437,0.9518,1.79458,0.0001784,0.0001784,0.0001784
94,463.959,0.72192,1.24284,0.52758,1.02204,0.87461,0.84211,0.90935,0.52923,0.94281,0.86837,0.95292,0.50232,1.46172,2.63842,0.82318,1.74155,0.0001586,0.0001586,0.0001586
95,467.949,0.6905,1.16124,0.50395,0.99303,0.81862,0.78947,0.91199,0.53401,0.93002,0.89474,0.96832,0.528,1.47914,2.60733,0.82168,1.7487,0.0001388,0.0001388,0.0001388
96,472.038,0.7073,1.21088,0.49036,1.01177,0.88031,0.77485,0.91817,0.54771,1,0.87572,0.97109,0.52178,1.4436,2.59727,0.77672,1.72871,0.000119,0.000119,0.000119
97,476.082,0.70068,1.2534,0.5093,1.05609,0.88132,0.78207,0.90844,0.53969,1,0.88501,0.9656,0.5151,1.4213,2.5495,0.76774,1.70065,9.92e-05,9.92e-05,9.92e-05
98,480.076,0.69463,1.17905,0.49933,1.0051,0.863,0.73684,0.89672,0.54231,0.97975,0.84211,0.95688,0.50143,1.42933,2.53025,0.79946,1.70025,7.94e-05,7.94e-05,7.94e-05
99,484.08,0.63528,1.1659,0.46513,0.95543,0.86197,0.73684,0.89614,0.53609,0.98053,0.84211,0.9563,0.50167,1.4429,2.52316,0.80651,1.69584,5.96e-05,5.96e-05,5.96e-05
100,488.153,0.67709,1.18775,0.49742,0.98944,0.85492,0.73684,0.90089,0.5407,0.97706,0.84211,0.95967,0.51266,1.44143,2.54066,0.78897,1.68282,3.98e-05,3.98e-05,3.98e-05
